product_id,image_path,ocr_text,ocr_text_cleaned
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img1.jpg,"40mm Drivers
boAt Signature Sound

Integrated Controls _~ Premium

Dual Connectivity: BT & AUX Matte Finish

: Mi f,. ‘ Adjustable &

Foldable Earcups

SINGLE TOUCH
VOICE ASSISTANT","40mm Drivers boAt Signature Sound Integrated Controls  Premium Dual Connectivity   AUX Matte Finish   ,.  Adjustable  Foldable Earcups SINGLE TOUCH VOICE ASSISTANT"
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img2.jpg,"40mm Drivers
boAt Signature Sound
; “ / b y a
Ai",40mm Drivers boAt Signature Sound
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img3.jpg,"‘1g
4omm Drivers cf ay
Phan

Integrated Controls ~, Pretty
0
f. ' Aci patible: &
” NN .

©

y..","4omm Drivers   Phan Integrated Controls , Pretty  .  Aci patible    .  .."
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img4.jpg,,
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img5.jpg,,
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img6.jpg,,
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img7.jpg,,
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img1.jpg,,
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img2.jpg,"INTEGRATED
MULTIFUNCTION
CONTROL
INSTANT

VOICE
ASSISTANT

Coen

IN-LINE MIC
HANDS FREE
COMMUNICATION",INTEGRATED MULTIFUNCTION CONTROL INSTANT VOICE ASSISTANT Coen -LINE MIC HANDS FREE COMMUNICATION
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img3.jpg,"PERFECT
CABLE LENGTH

WITH FREE CARRY POUCH",PERFECT CABLE LENGTH WITH FREE CARRY POUCH
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img4.jpg,,
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img5.jpg,,
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img6.jpg,"HAWK
INSPIRED
DESIG",HAWK INSPIRED DESIG
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img7.jpg,"INTEGRATED
MULTIFUNCTION
CONTROL

INSTANT
VOICE
ASSISTANT

“HEY SIRI” ""OK GOOGLE”

IN-LINE MIC
HANDS FREE
COMMUNICATION",INTEGRATED MULTIFUNCTION CONTROL INSTANT VOICE ASSISTANT HEY SIRI  GOOGLE -LINE MIC HANDS FREE COMMUNICATION
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img1.jpg,"Adjustable
Headband and

Zc  EGrcups",Adjustable Headband and  EGrcups
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img2.jpg,,
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img3.jpg,"Seamless VoIP calls

10
Adaptive
audio equalization

Get lost in the music
and enjoy every subtle
sound with the power

_ of Dual Stream™ DSP

Simultaneous
dual-audio processing",Seamless VoIP calls  Adaptive audio equalization Get lost  the music and enjoy every subtle sound with the power   Dual Stream DSP Simultaneous dual-audio processing
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img4.jpg,"4Omm Conon

Ultra Low

Latency 4
gernngrase",4Omm Conon Ultra Low Latency  gernngrase
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img5.jpg,"Adjustable

Headband oA ‘-
and earcups

aT OM coms

Ultra Low
Bass Latency

ee Boosted gaming mode Ce 98

witseae Drivers &
80 hrs

Long
ly ec] “wf lasting XS
\w_ ae — battery |

processed calling “sx%7"") 73@geE
Yas J + i",Adjustable Headband  - and earcups   coms Ultra Low Bass Latency  Boosted gaming mode   witseae Drivers   hrs Long    lasting     battery  processed calling % 73geE Yas
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img6.jpg,,
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img7.jpg,Navy Blue e,Navy Blue
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img1.jpg,,
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img2.jpg,,
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img3.jpg,"y:
\ a ae
BEAST™ Mode

40ms Low Latency for Gaming",BEAST Mode 40ms Low Latency for Gaming
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img4.jpg,"RGB LEDs
With 6 Modes",RGB LEDs With  Modes
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img5.jpg,,
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img6.jpg,"a. <a

40mm Drivers

boAt Signature Sound",.  40mm Drivers boAt Signature Sound
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img7.jpg,"OO —
40mm Drivers

boAt Signature Sound",40mm Drivers boAt Signature Sound
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img1.jpg,,
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img2.jpg,"SO mm Drivers
boAt Signature Sound",Drivers boAt Signature Sound
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img3.jpg,"~~

Set a reminder for 5:00 pm
“HEY SIRI”

| eo
, 500mAh Battery

f
“OK GOOGLE”

Instant Voice Assistant

Integrated Controls |

ran te
/ i ON
\

Bluetooth

AUX Port","Set  reminder for 500  HEY SIRI   , 500mAh Battery   GOOGLE Instant Voice Assistant Integrated Controls  ran      Bluetooth AUX Port"
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img4.jpg,"“Sy

boAt Signature Sound",boAt Signature Sound
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img5.jpg,,
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img6.jpg,"Lil
\\) ity

Playback Time

20 Hours

Lil
\\} ty",Lil  ity Playback Time  Hours Lil
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img7.jpg,,
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img1.jpg,,
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img2.jpg,"Hours of
music,
Hours of
talk-time.
Hours of |
watching.","Hours  music, Hours  talk-time. Hours   watching."
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img3.jpg,,
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img4.jpg,"Ready for life.
Anywhere.
Anytime.",Ready for life. Anywhere. Anytime.
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img5.jpg,"Ready for life.
Anywhere.
Anytime.",Ready for life. Anywhere. Anytime.
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img6.jpg,"Stay connected,
no matter where you go.","Stay connected,  matter where you ."
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img7.jpg,"Eliminate

alllags | pom

(up to 40ms)",Eliminate alllags  pom   40ms
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img1.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img2.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img3.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img4.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img5.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img6.jpg,oMIN # = 2H,oMIN
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img7.jpg,,
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img1.jpg,"Upto
Total Playback Time

Charge with Type C

10Mins - 10Hrs
CHARGE PLAYTIME",Upto Total Playback Time Charge with Type  10Mins - 10Hrs CHARGE PLAYTIME
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img2.jpg,"Low Latency Mode
w/ Dedicated Button",Low Latency Mode  Dedicated Button
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img3.jpg,Ox,
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img4.jpg,"ENx™ Technology
Be Clearly Heard Across Calls",ENx Technology  Clearly Heard Across Calls
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img5.jpg,"ENx™ Technology
Be Clearly Heard Across Calls",ENx Technology  Clearly Heard Across Calls
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img6.jpg,,
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img7.jpg,"iY

Upto 25

Total Playback Time

Charge with Type C

10Mins - 1OHrs
CHARGE PLAYTIME",Upto  Total Playback Time Charge with Type  10Mins - 1OHrs CHARGE PLAYTIME
B0DQPKH93F,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DQPKH93F_allsrp_img1.jpg,"Plug into
audio bliss!

Mimi"" Enjoy thrilling bass!

(3) Pure HD Sound",Plug into audio bliss Mimi Enjoy thrilling bass  Pure  Sound
B0DQPKH93F,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DQPKH93F_allsrp_img2.jpg,"a Aux Connector

—S—

c,
/ Voice Assistance
In-car
Design we)

BoostedBass™

1.2m Long
Cable

Easy Centrols","Aux Connector  ,  Voice Assistance -car Design  BoostedBass . Long Cable Easy Centrols"
B0DQPKH93F,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DQPKH93F_allsrp_img3.jpg,"Plug into
audio bliss!

HL Enjey shelling %

4) Pure 11D Sound",Plug into audio bliss  Enjey shelling %  Pure 11D Sound
B0DQPKH93F,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DQPKH93F_allsrp_img4.jpg,"\

BoostedBass™

Easy Controls

Aux Connector

Voice Assistance

© Hey, Siri

OK, Google

1.2m Long
Cable","BoostedBass Easy Controls Aux Connector Voice Assistance  Hey, Siri , Google . Long Cable"
B0DQPKH93F,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DQPKH93F_allsrp_img5.jpg,_ Aux x Connectivity,Aux  Connectivity
B0DQPKH93F,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DQPKH93F_allsrp_img6.jpg,"Aux Connectivity

Compatible with gadgets with an Aux port

Tablets

Laptops

If you face any trouble connecting these earphones:

Try enabling OTG Connection or turning OFF ""Disable USB Audio Routing’ in your
Smartphone's Settings.",Aux Connectivity Compatible with gadgets with  Aux port Tablets Laptops  you face any trouble connecting these earphones Try enabling OTG Connection  turning OFF Disable USB Audio Routing  your Smartphones Settings.
B0DQPKH93F,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DQPKH93F_allsrp_img7.jpg,,
B09XS7JWHH,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09XS7JWHH_allsrp_img1.jpg,"SONY

OFFICIAL HEADPHONES OF THE WPL.

Elevate
your game 7
~ p+
wooox se res leadphones VA
WA +47 i",SONY OFFICIAL HEADPHONES  THE WPL. Elevate your game    wooox  res leadphones
B09XS7JWHH,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09XS7JWHH_allsrp_img2.jpg,,
B09XS7JWHH,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09XS7JWHH_allsrp_img3.jpg,,
B09XS7JWHH,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09XS7JWHH_allsrp_img4.jpg,"THE BEST NOISE CANCELLATION’

Two processors control
8 microphones—our biggest step
forward in noise canceling technology.

g JEITA-compliant guidelfi ico
eae ling headphones gaia

*As of April 10, 202
for the top 10 brag","THE BEST NOISE CANCELLATION Two processors control  microphonesour biggest step forward  noise canceling technology.  JEITA-compliant guidelfi ico eae ling headphones gaia   April , 202 for the top  brag"
B09XS7JWHH,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09XS7JWHH_allsrp_img5.jpg,"SEAMLESS MULTI-DEVICE PAIRING

ection quickly switches
es at the touch of a button.",SEAMLESS MULTI-DEVICE PAIRING ection quickly switches   the touch   button.
B09XS7JWHH,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09XS7JWHH_allsrp_img6.jpg,,
B09XS7JWHH,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09XS7JWHH_allsrp_img7.jpg,,
B0863FR3S9,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0863FR3S9_allsrp_img1.jpg,,
B0863FR3S9,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0863FR3S9_allsrp_img2.jpg,"| CLEAR HANDS-FREE CALLING —

Superior cafequality a i
microphones with ad¥anced audi
signal processing",CLEAR HANDS-FREE CALLING  Superior cafequality   microphones with adanced audi signal processing
B0863FR3S9,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0863FR3S9_allsrp_img3.jpg,,
B0863FR3S9,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0863FR3S9_allsrp_img4.jpg,"""BATTERY LIFE

Up to 30 hrs of battery life’
(10 min charge for 5 hours of playback)

Quick charging
(10 min charge for 5 hours of playback)

*Actual performance varies based on settings, environmental conditions, and usage.","BATTERY LIFE    hrs  battery life  min charge for  hours  playback Quick charging  min charge for  hours  playback Actual performance varies based  settings, environmental conditions, and usage."
B0863FR3S9,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0863FR3S9_allsrp_img5.jpg,oer,oer
